"","Variable","Questionnaire","TableName","years"
"1","WTDR2D","DR1IFF_C","DietaryInterviewIndividualFoodsFirstDay","2003-2004"
"2","WTDR2D","DR1IFF_D","DietaryInterviewIndividualFoodsFirstDay","2005-2006"
"3","WTDR2D","DR1IFF_E","DietaryInterviewIndividualFoodsFirstDay","2007-2008"
"4","WTDR2D","DR1IFF_F","DietaryInterviewIndividualFoodsFirstDay","2009-2010"
"5","WTDR2D","DR1IFF_G","DietaryInterviewIndividualFoodsFirstDay","2011-2012"
"6","WTDR2D","DR1IFF_H","DietaryInterviewIndividualFoodsFirstDay","2013-2014"
"7","WTDR2D","DR1IFF_I","DietaryInterviewIndividualFoodsFirstDay","2015-2016"
"8","WTDR2D","DR1IFF_J","DietaryInterviewIndividualFoodsFirstDay","2017-2018"
"9","WTDR2D","DR1TOT_C","DietaryInterviewTotalNutrientIntakesFirstDay","2003-2004"
"10","WTDR2D","DR1TOT_D","DietaryInterviewTotalNutrientIntakesFirstDay","2005-2006"
"11","WTDR2D","DR1TOT_E","DietaryInterviewTotalNutrientIntakesFirstDay","2007-2008"
"12","WTDR2D","DR1TOT_F","DietaryInterviewTotalNutrientIntakesFirstDay","2009-2010"
"13","WTDR2D","DR1TOT_G","DietaryInterviewTotalNutrientIntakesFirstDay","2011-2012"
"14","WTDR2D","DR1TOT_H","DietaryInterviewTotalNutrientIntakesFirstDay","2013-2014"
"15","WTDR2D","DR1TOT_I","DietaryInterviewTotalNutrientIntakesFirstDay","2015-2016"
"16","WTDR2D","DR1TOT_J","DietaryInterviewTotalNutrientIntakesFirstDay","2017-2018"
"17","WTDR2D","DR2IFF_C","DietaryInterviewIndividualFoodsSecondDay","2003-2004"
"18","WTDR2D","DR2IFF_D","DietaryInterviewIndividualFoodsSecondDay","2005-2006"
"19","WTDR2D","DR2IFF_E","DietaryInterviewIndividualFoodsSecondDay","2007-2008"
"20","WTDR2D","DR2IFF_F","DietaryInterviewIndividualFoodsSecondDay","2009-2010"
"21","WTDR2D","DR2IFF_G","DietaryInterviewIndividualFoodsSecondDay","2011-2012"
"22","WTDR2D","DR2IFF_H","DietaryInterviewIndividualFoodsSecondDay","2013-2014"
"23","WTDR2D","DR2IFF_I","DietaryInterviewIndividualFoodsSecondDay","2015-2016"
"24","WTDR2D","DR2IFF_J","DietaryInterviewIndividualFoodsSecondDay","2017-2018"
"25","WTDR2D","DR2TOT_C","DietaryInterviewTotalNutrientIntakesSecondDay","2003-2004"
"26","WTDR2D","DR2TOT_D","DietaryInterviewTotalNutrientIntakesSecondDay","2005-2006"
"27","WTDR2D","DR2TOT_E","DietaryInterviewTotalNutrientIntakesSecondDay","2007-2008"
"28","WTDR2D","DR2TOT_F","DietaryInterviewTotalNutrientIntakesSecondDay","2009-2010"
"29","WTDR2D","DR2TOT_G","DietaryInterviewTotalNutrientIntakesSecondDay","2011-2012"
"30","WTDR2D","DR2TOT_H","DietaryInterviewTotalNutrientIntakesSecondDay","2013-2014"
"31","WTDR2D","DR2TOT_I","DietaryInterviewTotalNutrientIntakesSecondDay","2015-2016"
"32","WTDR2D","DR2TOT_J","DietaryInterviewTotalNutrientIntakesSecondDay","2017-2018"
"33","WTDR2D","DS1IDS_E","DietarySupplementUse24HourIndividualDietarySupplementsFirstDay","2007-2008"
"34","WTDR2D","DS1IDS_F","DietarySupplementUse24HourIndividualDietarySupplementsFirstDay","2009-2010"
"35","WTDR2D","DS1IDS_G","DietarySupplementUse24HourIndividualDietarySupplementsFirstDay","2011-2012"
"36","WTDR2D","DS1IDS_H","DietarySupplementUse24HourIndividualDietarySupplementsFirstDay","2013-2014"
"37","WTDR2D","DS1IDS_I","DietarySupplementUse24HourIndividualDietarySupplementsFirstDay","2015-2016"
"38","WTDR2D","DS1IDS_J","DietarySupplementUse24HourIndividualDietarySupplementsFirstDay","2017-2018"
"39","WTDR2D","DS1TOT_E","DietarySupplementUse24HourTotalDietarySupplementsFirstDay","2007-2008"
"40","WTDR2D","DS1TOT_F","DietarySupplementUse24HourTotalDietarySupplementsFirstDay","2009-2010"
"41","WTDR2D","DS1TOT_G","DietarySupplementUse24HourTotalDietarySupplementsFirstDay","2011-2012"
"42","WTDR2D","DS1TOT_H","DietarySupplementUse24HourTotalDietarySupplementsFirstDay","2013-2014"
"43","WTDR2D","DS1TOT_I","DietarySupplementUse24HourTotalDietarySupplementsFirstDay","2015-2016"
"44","WTDR2D","DS1TOT_J","DietarySupplementUse24HourTotalDietarySupplementsFirstDay","2017-2018"
"45","WTDR2D","DS2IDS_E","DietarySupplementUse24HourIndividualDietarySupplementsSecondDay","2007-2008"
"46","WTDR2D","DS2IDS_F","DietarySupplementUse24HourIndividualDietarySupplementsSecondDay","2009-2010"
"47","WTDR2D","DS2IDS_G","DietarySupplementUse24HourIndividualDietarySupplementsSecondDay","2011-2012"
"48","WTDR2D","DS2IDS_H","DietarySupplementUse24HourIndividualDietarySupplementsSecondDay","2013-2014"
"49","WTDR2D","DS2IDS_I","DietarySupplementUse24HourIndividualDietarySupplementsSecondDay","2015-2016"
"50","WTDR2D","DS2IDS_J","DietarySupplementUse24HourIndividualDietarySupplementsSecondDay","2017-2018"
"51","WTDR2D","DS2TOT_E","DietarySupplementUse24HourTotalDietarySupplementsSecondDay","2007-2008"
"52","WTDR2D","DS2TOT_F","DietarySupplementUse24HourTotalDietarySupplementsSecondDay","2009-2010"
"53","WTDR2D","DS2TOT_G","DietarySupplementUse24HourTotalDietarySupplementsSecondDay","2011-2012"
"54","WTDR2D","DS2TOT_H","DietarySupplementUse24HourTotalDietarySupplementsSecondDay","2013-2014"
"55","WTDR2D","DS2TOT_I","DietarySupplementUse24HourTotalDietarySupplementsSecondDay","2015-2016"
"56","WTDR2D","DS2TOT_J","DietarySupplementUse24HourTotalDietarySupplementsSecondDay","2017-2018"
